Item name, Item price(SGD), Store name, Purchase Location, Postal code, Purchase date
100 Plus, 1.90, Fairprice Toa Payoh, Toa Payoh, 310500, 20/10/2020
Yakult, 3.20, Fairprice Toa Payoh, Toa Payoh, 310500, 29/10/2020
